Sujeto,Evento,Mu_C3,Beta_C3,Entropia_C3,ERD_Mu_C3,ERD_Beta_C3,Mu_Cz,Beta_Cz,Entropia_Cz,ERD_Mu_Cz,ERD_Beta_Cz,Mu_C4,Beta_C4,Entropia_C4,ERD_Mu_C4,ERD_Beta_C4,Coherencia_Mu_C3-Cz,Coherencia_Beta_C3-Cz,Coherencia_Mu_C3-C4,Coherencia_Beta_C3-C4,Coherencia_Mu_Cz-C4,Coherencia_Beta_Cz-C4
S001,T0,3.851164082793017e-11,1.1842854770381255e-11,1.4359998571610109,,,3.388266708842499e-11,1.1166199808611043e-11,1.3917929332784715,,,2.7989181777182327e-11,8.745435262161845e-12,1.4727841001545505,,,0.7786225798628941,0.7048791997221597,0.5177894225719781,0.42702616180102837,0.7663741419008884,0.681772783514384
S001,T1,3.5580012237128456e-11,1.1172201465953889e-11,1.425559079641834,-27.91509074900057,16.53215149847644,3.090619486837173e-11,1.0574419589782213e-11,1.3296160241014523,-6.38275314991411,34.08042056681842,2.2790942726318455e-11,7.709993608679788e-12,1.4368504843001815,-22.623859084158255,21.682349851041653,0.7829294173991939,0.6985432206826871,0.5407860033894392,0.4373620848161634,0.7867408453213646,0.6966097822428466
S001,T2,3.3859515895393685e-11,1.077342942414193e-11,1.5726071980998222,-30.453367406787763,-4.5953550725181005,3.3264657916173404e-11,1.0530487584338796e-11,1.522962584773844,-21.2450866864784,13.266741025128587,2.729585875336849e-11,8.351736539428021e-12,1.5361212292625435,-16.307071137776237,4.744564679966559,0.8369357103611874,0.7164175573154795,0.6127170267629847,0.4381594987818743,0.803015231705664,0.6820077675439944
S002,T0,1.1768414092799225e-11,4.4662978283753675e-12,1.536808368127751,,,1.335449424025238e-11,7.311515906151853e-12,1.4261275704642191,,,7.903601525130026e-12,3.2683380539582287e-12,1.4042034281121705,,,0.6925945027453608,0.5196845057069288,0.4111744459184814,0.34235458404174735,0.7141893984033262,0.5882187125397005
S002,T1,1.2415459419958367e-11,4.186113488314185e-12,1.4717528274408844,-26.652034798104385,-5.102701610171326,1.3120396463295075e-11,7.512012440899414e-12,1.4665582465659628,-16.803020414024225,-17.4205434017961,7.75806605124601e-12,3.17849424603016e-12,1.4734467798440034,0.3782538654345101,-1.9745396614020119,0.6478861213355915,0.5020221485573287,0.35925543815798755,0.36146288641913554,0.7135638302537335,0.6142717559119762
S002,T2,1.0798855555843717e-11,4.598537983499072e-12,1.5238782656776573,-39.422772479586726,-34.00799841686509,1.3535461093449338e-11,6.8259101847333786e-12,1.4320820442431081,-26.486579976257197,10.814176416308975,8.629319670313656e-12,3.482661335589644e-12,1.4249556487818067,-22.13508820421658,7.403002241669925,0.7045558071356417,0.4917521210461983,0.41388337059485325,0.3303729731705201,0.7101188839011782,0.5908140872762118
S003,T0,3.5870201336113185e-11,1.4048892497480643e-11,1.7700401125621834,,,3.656406337102066e-11,1.3083024277390305e-11,1.681832555838892,,,3.044811445517155e-11,1.2501724461550848e-11,1.7104074169073267,,,0.8507613209572513,0.9014920067702222,0.703858018909175,0.7713257244595529,0.8626649448893776,0.8776494073249069
S003,T1,3.5465613554718074e-11,1.3970271796913288e-11,1.7262708292541635,3.5060666690188937,25.420152479384505,3.7020687150663686e-11,1.2864043670043351e-11,1.6668781293822512,21.419318174337736,27.92209707776148,3.1005351006882746e-11,1.1998703992064676e-11,1.6670008813509924,4.907595425112405,25.485469785861213,0.8335456263561836,0.9028252640383762,0.6868473675382594,0.7659537895637657,0.8658078691730535,0.8784126385444789
S003,T2,3.712449389667156e-11,1.3410994154735201e-11,1.7583170256386533,76.54189736717376,9.405905615722151,3.7475926710717036e-11,1.2374387080420471e-11,1.7751565367214694,46.0461236010832,5.9422477092529835,2.9998922763111007e-11,1.2139083922714374e-11,1.7461880349772385,20.37550735153227,7.082597064945404,0.852519435477801,0.898083360971848,0.7027304974186854,0.7521002754884459,0.8544428208767134,0.8651442930345536
S004,T0,5.00298607128609e-12,2.7200444230701153e-12,1.5382156341604187,,,4.789021609948696e-12,2.7845408115973087e-12,1.5520532286531479,,,4.1962802476891624e-12,2.38622004855569e-12,1.5386621914822187,,,0.8271974248116001,0.7242683302786844,0.5973421627217499,0.4346772962119336,0.7814395802598999,0.6732584050730421
S004,T1,4.367792784371861e-12,2.4195705757885458e-12,1.6534177065506348,-24.567158024855924,9.078381828472864,4.1035753757787e-12,2.4979022535911095e-12,1.625780418014365,-21.009307230045067,11.531904729277946,3.3388422390851164e-12,2.157553192303647e-12,1.5708927554339664,-17.83153862539124,10.371798707400844,0.8288391333680799,0.7380512575854062,0.6192790065293069,0.4718309391809571,0.7905018941139974,0.6728187965128207
S004,T2,4.01467974936267e-12,2.299184125898493e-12,1.7139424468712474,-22.255916236441866,-18.005014336824395,4.0739579738906124e-12,2.673904060781987e-12,1.7190105391589896,-18.638728385324356,-3.8943684967311225,3.8613059899825346e-12,2.5211125143099517e-12,1.6475735223961174,-19.929821835695453,-15.271012907560518,0.8399063138554571,0.7583463165416363,0.6164108962189283,0.49044646608126324,0.7924972842070672,0.6840880416541898
S005,T0,6.419808744662238e-12,2.3582521395391266e-12,1.4380378647070753,,,7.494562656175952e-12,2.2572008831009754e-12,1.3302518231190572,,,5.3221711894714864e-12,2.1934176033304157e-12,1.5346464358605993,,,0.8044687164657653,0.640672433374559,0.5775528466303881,0.32018502036699464,0.764416212432887,0.5671289447402402
S005,T1,6.613267097440541e-12,2.0337186369553666e-12,1.4519419689591244,59.437670909699655,17.343746872380436,7.637690814374375e-12,2.0292193615918774e-12,1.352347316643437,53.0657565416701,12.551003178157305,4.993184900017774e-12,1.8112732690686058e-12,1.4597871379296945,36.91466275719274,7.177932206488135,0.8086278839617134,0.6383667361646326,0.6166025190735819,0.3306949811568064,0.7794588418492424,0.5702855382285539
S005,T2,6.480315143832244e-12,2.0081079107590296e-12,1.4012642777317397,27.249359412207184,-5.466023837662141,7.515931272493096e-12,1.9922789031275334e-12,1.44465678618219,31.31957208386686,13.556690780837924,5.247835556701582e-12,1.8412682099479746e-12,1.607926704019557,37.27435620464974,4.336113083492886,0.828097868662038,0.6599793416640958,0.593148001473661,0.31374505056794105,0.7665186302941217,0.548178140700165
S006,T0,4.5862098220938835e-12,5.1323680357569365e-12,1.6046777423324972,,,4.047504458440221e-12,3.866992531557421e-12,1.53571130429695,,,3.6275250424209944e-12,3.909505573777747e-12,1.5971987387750552,,,0.6716606640607794,0.6978605565046865,0.3913565675509326,0.44212082755219867,0.7179663876837599,0.7480439980862298
S006,T1,4.742654208704678e-12,4.477123840823536e-12,1.556540966312015,31.775821373420126,-8.996200571355926,3.919740338322494e-12,3.239407214701869e-12,1.5694862820711055,33.13822768945301,2.1926198490843594,3.7094922639478e-12,3.2263788325907715e-12,1.6453980613151085,20.9707064352314,-4.984933703595636,0.666029449608708,0.6789058851606967,0.3701481196106571,0.39407580389546226,0.7000367909044702,0.717314802085952
S006,T2,5.054958362188942e-12,4.671429764047211e-12,1.5976138975061729,5.443096452229482,-15.858884133202784,4.228029470859045e-12,3.5016285201895084e-12,1.5571351966956974,-19.809233262232908,-12.189005304593126,3.678366580076486e-12,3.3754757013483674e-12,1.5919632819108365,-12.284138490868097,-12.135303449532223,0.7016845551924924,0.6983672818615758,0.4220709099879868,0.4214690056491125,0.7494226053534411,0.7309638022182747
S007,T0,4.721517792258832e-11,5.672005051288342e-12,1.5030848408635225,,,4.6161725659047144e-11,4.67081169032896e-12,1.3696526341733755,,,3.555233368461487e-11,3.9454325088388206e-12,1.409466129574659,,,0.8457395834893253,0.7653480901843002,0.5418814377385044,0.37068345787629353,0.7928729114126553,0.6438703955453665
S007,T1,3.909557003166268e-11,5.021832075116699e-12,1.4624809576678466,-3.2546938440935933,-19.493131639235923,3.3968773795988384e-11,3.9418698337524085e-12,1.35810783702718,6.597729405046746,-14.818166317539482,2.477136351930557e-11,3.2288891161816467e-12,1.561539658087131,6.871876253632575,-11.662505118362692,0.8453757596508484,0.7603853710929508,0.5240847317054733,0.3997741607639275,0.7851655499515544,0.6993046316812208
S007,T2,3.828992900892559e-11,4.491513024232641e-12,1.458793212293716,9.522842312190132,-14.331030794579217,4.142278788476594e-11,4.192684015220978e-12,1.290302970581514,27.412551147818004,0.8606515600930127,3.7414202295229865e-11,4.143926659806845e-12,1.4766620921915756,4.774830634360407,-12.355825096811929,0.8756880781314803,0.8119844033936303,0.5331801912707959,0.3751569221060689,0.7527409865559829,0.6034818755687547
S008,T0,1.164780249122246e-11,2.5612075963999997e-12,1.4868526516458778,,,1.379445719304687e-11,2.498073449804654e-12,1.4350561970786722,,,1.161086252635814e-11,2.267076487197582e-12,1.4617233955996953,,,0.7989293747344012,0.7269632164638722,0.6590101800824688,0.5128642669881893,0.8294518623769925,0.7498299521496133
