Sujeto,Evento,Mu_C3,Beta_C3,Entropia_C3,ERD_Mu_C3,ERD_Beta_C3,Mu_Cz,Beta_Cz,Entropia_Cz,ERD_Mu_Cz,ERD_Beta_Cz,Mu_C4,Beta_C4,Entropia_C4,ERD_Mu_C4,ERD_Beta_C4,Coherencia_Mu_C3-Cz,Coherencia_Beta_C3-Cz,Coherencia_Mu_C3-C4,Coherencia_Beta_C3-C4,Coherencia_Mu_Cz-C4,Coherencia_Beta_Cz-C4
S001,T0,0.3033535247781403,0.3632092243980571,0.5715851852371314,0.625,0.625,0.26422896082955943,0.3597429898836868,0.5137974849288522,0.5692089420470091,0.5842591669065881,0.2806049554163041,0.3281265991011366,0.5969488086565631,0.6021645528662964,0.6188429711350449,0.678320149841042,0.6062178496201542,0.6074403827482077,0.5157616320019215,0.5660550539879005,0.5151401519443961
S001,T1,0.27995806652075184,0.342234122351619,0.5587533430718958,0.2549410382068415,0.9478786265840218,0.24063587127323743,0.34027656432719294,0.437600670462835,0.49293084548323673,1.0,0.2277666229649854,0.28856085355145455,0.5533455779064445,0.3051886056008742,0.9999999999999999,0.6877109428301056,0.5939815501670267,0.6383168702861627,0.5292669894277943,0.6039578069919515,0.5379339984175904
S001,T2,0.2662278823932878,0.32976227704040545,0.7394772636115357,0.22129214079968668,0.5352511288614008,0.2593302939952696,0.3388314347228202,0.6745438091005775,0.3153161882909406,0.8835270177514648,0.27355756262232683,0.31308279297788677,0.6738045157676564,0.3881070006047209,0.7159969081635618,0.8054683258375279,0.628501193335395,0.7348954601389317,0.530308924493249,0.6342446941077345,0.5155011541923991
S002,T0,0.08993288660018858,0.1325027869757515,0.6954800675159387,0.625,0.625,0.10151182973336305,0.23294436626706874,0.5558740373665438,0.5692089420470091,0.5842591669065881,0.07644186163568828,0.1188386747049083,0.5137303849893955,0.6021645528662964,0.6188429711350449,0.4907412461445666,0.24856235250075054,0.46429318951409193,0.40512614064065683,0.4689384316984394,0.37141451242887646
S002,T1,0.0950965427296474,0.12373984629417956,0.6155260192149699,0.2716848553084229,0.5253424758167726,0.09965624721541476,0.23953963718660462,0.6054211886552867,0.3684018007397779,0.19129087314622312,0.07496254302850228,0.11540561091831794,0.597752929664862,0.6071297667838849,0.5784105363672862,0.39325738445798253,0.21445209269967258,0.3945838440759788,0.43009386273285843,0.4677742396064891,0.4114393908868026
S002,T2,0.08219545821290639,0.13663868063354068,0.6795888148276035,0.10238839948689471,0.0,0.10294626851140251,0.21697051765734626,0.5631711503909469,0.2526768973916063,0.8282026741052424,0.0838185398234285,0.12702828191057244,0.5389119272561897,0.3116045399702706,0.7704334461571366,0.5168221308915704,0.1946181994315359,0.4679303423445572,0.3894704573391562,0.46136314066635153,0.3754017455861428
S003,T0,0.2822738806635624,0.4322044356923799,0.9821247093549461,0.625,0.625,0.2854831227884896,0.4227963323901385,0.8692364348629915,0.5692089420470091,0.5842591669065881,0.30559917000391795,0.471659923431149,0.8852900753404223,0.6021645528662964,0.6188429711350449,0.8356142150104418,0.9859244692873079,0.8572664217412747,0.9656381111964891,0.7452537415165431,0.8160623109697003
S003,T1,0.2790451235894986,0.4297455240513334,0.9283317294679203,0.6714784944881894,1.0,0.28910256383486743,0.4155930336728013,0.8509100228035205,0.8251838766337061,1.0,0.3112632900809755,0.45243877288631396,0.8326189165681837,0.6665849417463148,0.9999999999999999,0.7980764572475931,0.9884993097467782,0.8344269757716472,0.9586189121631867,0.7511027726717195,0.8172348510204788
S003,T2,0.2922835897157829,0.41225376558308424,0.9677168933837907,1.0,0.8087005841171481,0.2927110328262989,0.3994859330180945,0.9836034909077804,0.9999999999999999,0.7183029156891793,0.30103328918789024,0.45780289610628466,0.9287076526977129,0.8696271274087601,0.7638725440590912,0.8394476750317206,0.9793415544041135,0.8557525487213584,0.9405173203733113,0.7299522403758444,0.7968509016759022
S004,T0,0.03594231993451427,0.07788761825382576,0.697209614533153,0.625,0.625,0.03361737350512274,0.08403093376226102,0.7101939310462917,0.5692089420470091,0.5842591669065881,0.0387582014106523,0.08513165081883982,0.6768878169984831,0.6021645528662964,0.6188429711350449,0.7842345962403972,0.6436629241930603,0.7142523131539465,0.5257589302385047,0.5940920699560949,0.5020596470148975
S004,T1,0.03087324738009794,0.06849011052902881,0.838794358322986,0.29932321554562247,0.80230393147273,0.028184164930265973,0.07460204787943914,0.8005454303925137,0.3181339078115236,0.8443930112276677,0.030042635598516745,0.07639395457136039,0.715997622226271,0.36809581796228585,0.8312251698109362,0.7878142402535124,0.67028107188816,0.7437059388830293,0.574305463260778,0.6109571775076544,0.5013842833370152
S004,T2,0.028055277431033525,0.06472494892498912,0.9131799980379873,0.32996240437591823,0.2733558536688202,0.027949401773242892,0.08039157238275914,0.9147974628194795,0.3464638835731705,0.4964109690554945,0.03535330197871967,0.09028608994986598,0.8090450124331838,0.34055234530834055,0.3061400939570148,0.8119455431070799,0.7094757120945425,0.7398550545729302,0.5986293039174315,0.6146706296202981,0.5186970464046827
S005,T0,0.047249078170225306,0.06657233803887795,0.5740899212220352,0.625,0.625,0.055062919602241175,0.06668425143929232,0.4383798320587289,0.5692089420470091,0.5842591669065881,0.05020250000941265,0.07776438636363225,0.6720149447633257,0.6021645528662964,0.6188429711350449,0.7346760528345757,0.4822191408094585,0.6876820774945811,0.37615844409679194,0.5624113166832957,0.3390146357304964
S005,T1,0.04879294591362529,0.05642234952880185,0.5911782339347214,1.0,0.9637293644442584,0.05619742891553367,0.05918487046049568,0.4654575083680961,0.9999999999999999,0.8673815810669223,0.04685846623874714,0.06316209038509071,0.5811777950953976,1.0,0.7658247114259217,0.7437448604299619,0.4777662849314426,0.7401123380678403,0.38989120669481736,0.5904058848531434,0.3438640603794908
S005,T2,0.047731941156528644,0.05562135803005686,0.5288947369505219,0.9862336332444505,0.5182466672748237,0.055232298531790215,0.05796972561137916,0.5785812968773603,0.9434984199005233,0.890067632366597,0.04944690357784365,0.06430824110697823,0.7609360390087618,1.0,0.707633089065351,0.786197958388718,0.5195054244087343,0.7086209991539775,0.36774370514985055,0.5663239491432729,0.30990081522416946
S006,T0,0.032616294471656905,0.15333454979223318,0.778892351328043,0.625,0.625,0.02773971724976715,0.11963784517069555,0.6901671623524377,0.5692089420470091,0.5842591669065881,0.032976998136750695,0.14333862683508344,0.7479183136028063,0.6021645528662964,0.6188429711350449,0.4450963050720391,0.5926631614451103,0.43768460455524827,0.5354849654570103,0.4759674677107818,0.616951570694803
S006,T1,0.033864777355211616,0.1328413772941131,0.7197316699416607,1.0,0.44930109685230735,0.02672699141019312,0.09899362209224415,0.7315578610718649,0.9652325500855536,0.6337197411887286,0.03381016707314743,0.11723535126267984,0.8064052243337181,0.8774401097578604,0.5167670236460383,0.4328177900942354,0.5560571321076173,0.40920896360126474,0.47270729034578945,0.4426002082109254,0.569742792916091
