Sujeto,Tipo,Tarea,Mu_C3,Beta_C3,Mu_C4,Beta_C4
S001,real,T1,3.692154700748778e-11,1.2117024954837057e-11,2.7065185814269088e-11,9.162606072360384e-12
S001,imaginacion,T1,3.4930552981120086e-11,1.1172201465953887e-11,2.3213474424305315e-11,7.709993608679787e-12
S002,real,T1,1.4276723891647011e-11,7.178634046028977e-12,9.406641407008324e-12,3.558305254137819e-12
S002,imaginacion,T1,1.2846710377425797e-11,4.1861134883141855e-12,8.59302802161131e-12,3.1784942460301605e-12
S003,real,T1,3.8199952803012004e-11,9.285632273837878e-12,3.434192919828087e-11,8.957340194325013e-12
S003,imaginacion,T1,3.9110540523670704e-11,1.3970271796913288e-11,3.443613010544263e-11,1.1998703992064674e-11
S004,real,T1,3.923483163638805e-12,2.0972760536698303e-12,2.985999590194812e-12,1.4740269011875969e-12
S004,imaginacion,T1,4.355616593228131e-12,2.4195705757885458e-12,3.395910162868319e-12,2.157553192303647e-12
S005,real,T1,7.294499173051127e-12,2.4220582810102375e-12,6.101807175716463e-12,2.139946583335133e-12
S005,imaginacion,T1,7.166457719728406e-12,2.0337186369553666e-12,5.507040491555219e-12,1.8112732690686058e-12
S006,real,T1,5.3812890310078486e-12,5.522161594860478e-12,4.072662609203577e-12,3.942040984360228e-12
S006,imaginacion,T1,4.9869524771613515e-12,4.477123840823536e-12,3.964929471280881e-12,3.2263788325907723e-12
S007,real,T1,3.848578851822242e-11,5.105054355645635e-12,2.780681584971118e-11,3.3241505394533774e-12
S007,imaginacion,T1,4.197563944159148e-11,5.021832075116699e-12,2.7533724605747857e-11,3.228889116181647e-12
S008,real,T1,1.5383948994893637e-11,2.174082954468957e-12,1.5663847026278757e-11,1.9134663259052702e-12
S008,imaginacion,T1,1.2735120407036063e-11,2.3945039208749527e-12,1.2190032775425386e-11,2.0307673448076786e-12
S009,real,T1,3.6306288427054595e-11,1.7592244304784665e-11,3.2708651587653095e-11,2.1337417796798588e-11
S009,imaginacion,T1,3.2569448689029225e-11,1.6340277985473908e-11,2.8322062035205705e-11,1.925410377423781e-11
S010,real,T1,4.1688811824190076e-11,1.119272350235051e-11,3.645525408239874e-11,8.494007331905055e-12
S010,imaginacion,T1,4.091919493421596e-11,1.0610394785033475e-11,3.3320436403241166e-11,8.14795089473454e-12
S011,real,T1,4.085123508909198e-12,2.181901892608757e-12,3.4095186364039504e-12,1.7895213059127223e-12
S011,imaginacion,T1,4.129415378532424e-12,1.7225507956232063e-12,3.617739388618683e-12,1.4305091104394877e-12
S012,real,T1,6.957993333366734e-12,2.3665907543848694e-12,6.482521402864743e-12,1.916080306024123e-12
S012,imaginacion,T1,7.311708515237781e-12,2.3407524517475906e-12,7.668271140100637e-12,1.7851860513208494e-12
S013,real,T1,4.8748227960997256e-11,2.814220437698478e-11,2.985893353546839e-11,1.7214790627795198e-11
S013,imaginacion,T1,4.912096197079674e-11,2.5798932884391614e-11,3.3499999544545334e-11,1.7963042662615153e-11
S014,real,T1,3.110233937233778e-11,4.615691804445798e-12,2.5028795737386838e-11,3.6922113960172765e-12
S014,imaginacion,T1,4.142079031493413e-11,4.8386750483744016e-12,3.436869108756732e-11,3.943220333936229e-12
S015,real,T1,5.735930789038623e-11,2.960095342597427e-11,3.943705058379337e-11,2.2982925088399367e-11
S015,imaginacion,T1,5.963583551998005e-11,2.6078728345885833e-11,4.3129648571514816e-11,1.9842826828905723e-11
S016,real,T1,1.5306575476020952e-11,3.580959334010452e-12,1.234984592212088e-11,2.982465755608142e-12
S016,imaginacion,T1,1.929442029060074e-11,3.799055757632447e-12,1.6492875935969835e-11,3.5461424019224633e-12
S017,real,T1,3.6641426409724004e-11,1.8081091538114157e-11,3.322051689206533e-11,1.542125967070817e-11
S017,imaginacion,T1,5.176088526552399e-11,3.285604835653618e-11,4.4925979682726966e-11,1.9227715967076742e-11
S018,real,T1,1.55750213136262e-12,7.902234669626025e-13,1.3240159474158202e-12,7.499291402417697e-13
S018,imaginacion,T1,1.5624612063029144e-12,8.640119616116665e-13,1.3833488434741828e-12,8.786339444548284e-13
S019,real,T1,3.010922305706191e-11,1.2669959396225971e-11,1.724843454562556e-11,8.780731029267587e-12
S019,imaginacion,T1,3.397114893351637e-11,1.183339220557411e-11,2.0808899588341117e-11,9.563883954651647e-12
S020,real,T1,1.820522826854615e-12,5.164597482500766e-13,1.1722007002422106e-12,3.6769968703889145e-13
S020,imaginacion,T1,1.8849017690188282e-12,5.505921126670017e-13,1.401206948388773e-12,3.9923355613069145e-13
S021,real,T1,1.0885600607407319e-11,4.129974951993634e-12,7.453569619604659e-12,2.843877140887609e-12
S021,imaginacion,T1,1.2020659288774332e-11,4.757965835242145e-12,8.027105424856666e-12,3.2767223093768693e-12
S022,real,T1,2.9467864228590823e-11,1.111197333797835e-11,2.9570718448087585e-11,1.0868561927116406e-11
S022,imaginacion,T1,2.8271559830210412e-11,1.1185268542353448e-11,2.9334975332976243e-11,1.1239131935952065e-11
S023,real,T1,4.786756361017884e-11,1.907202438235752e-11,3.537618898985176e-11,1.5190354995816954e-11
S023,imaginacion,T1,5.810024005982894e-11,1.7821629745486853e-11,4.441224907832304e-11,1.6048401483912678e-11
S024,real,T1,8.07807355737676e-12,5.9670693493509035e-12,6.969283235600833e-12,6.9493034328166446e-12
S024,imaginacion,T1,1.069178932680403e-11,1.2138491309275043e-11,8.992807187093349e-12,1.0239150438411124e-11
S025,real,T1,7.535030585538445e-12,1.971473672578915e-12,7.203157862145211e-12,1.7742197620973302e-12
S025,imaginacion,T1,8.025792234029137e-12,2.2939448560650387e-12,7.474074860177389e-12,2.1073792956910484e-12
S026,real,T1,2.3993238478670947e-12,1.295016645980632e-12,1.8657088106706423e-12,1.1034546805251117e-12
S026,imaginacion,T1,2.4847361738857614e-12,1.180985358251463e-12,2.1408825203663413e-12,1.5846251277611395e-12
S027,real,T1,5.1356070740461114e-11,9.404714625610748e-12,3.5054378396936296e-11,1.3460663537963577e-11
S027,imaginacion,T1,3.940014723549218e-11,8.837484376645952e-12,2.6789850220059724e-11,8.05248689404542e-12
S028,real,T1,8.018929634255122e-11,1.1217446987629059e-11,5.6532735558288817e-11,6.640430096847371e-12
S028,imaginacion,T1,8.935232918711529e-11,1.117824486657213e-11,6.712237691399656e-11,8.180000011182359e-12
S029,real,T1,7.308825000783003e-12,1.0239287446964656e-12,7.041028667939559e-12,9.463106906833089e-13
S029,imaginacion,T1,1.2093655385217989e-11,1.3259658601965761e-12,9.643499273535334e-12,1.0978160791983065e-12
S030,real,T1,3.06185757364912e-12,8.478481458952536e-13,2.2739322227226763e-12,6.115284961218539e-13
S030,imaginacion,T1,3.429435599896519e-12,7.539676603313556e-13,2.69747255347577e-12,5.799157585700322e-13
S031,real,T1,5.670942780348747e-11,8.37598352763347e-12,4.7009818286138756e-11,6.416988187093012e-12
