Sujeto,Evento,Mu_C3,Beta_C3,Entropia_C3,Mu_Cz,Beta_Cz,Entropia_Cz,Mu_C4,Beta_C4,Entropia_C4,Coherencia_Mu_C3-Cz,Coherencia_Beta_C3-Cz,Coherencia_Mu_C3-C4,Coherencia_Beta_C3-C4,Coherencia_Mu_Cz-C4,Coherencia_Beta_Cz-C4,CSP_1,CSP_2
S001,T0,3.851164082793018e-11,1.1842854770381258e-11,1.4359998571610109,3.388266708842499e-11,1.1166199808611046e-11,1.3917929332784715,2.7989181777182334e-11,8.745435262161846e-12,1.4727841001545505,0.833047448112799,0.8380908303079332,0.6525768679838255,0.6279950339389334,0.8155178180787809,0.7986271154952255,,
S001,T1,3.558001223712846e-11,1.1172201465953889e-11,1.425559079641834,3.090619486837173e-11,1.0574419589782217e-11,1.3296160241014523,2.2790942726318455e-11,7.709993608679788e-12,1.4368504843001815,0.8156095028416057,0.7607665279939446,0.6762268837713483,0.5662445435913551,0.9098823924429486,0.7929822418483827,-0.7154044167909301,-0.7142559675116545
S001,T2,3.385951589539369e-11,1.0773429424141933e-11,1.5726071980998222,3.3264657916173404e-11,1.0530487584338796e-11,1.522962584773844,2.7295858753368494e-11,8.351736539428024e-12,1.5361212292625435,0.8062568508477829,0.7870838975877444,0.539689689583896,0.5009776498292972,0.7637656373279957,0.7126348335612516,-0.7154044167909301,-0.7142559675116545
S002,T0,1.1768414092799225e-11,4.466297828375368e-12,1.536808368127751,1.3354494240252385e-11,7.311515906151855e-12,1.4261275704642191,7.903601525130028e-12,3.2683380539582295e-12,1.4042034281121705,0.7776500378377532,0.6077463279154663,0.6203985456217758,0.4994984214547343,0.8253838215369977,0.6858314652806892,,
S002,T1,1.2415459419958367e-11,4.186113488314186e-12,1.4717528274408844,1.3120396463295079e-11,7.512012440899416e-12,1.4665582465659628,7.758066051246011e-12,3.1784942460301605e-12,1.4734467798440034,0.7977506596590974,0.5452117241383019,0.6467437617170894,0.33601377748375,0.8183073282539414,0.6521221286627243,-0.8134536153978724,-0.7099202519857667
S002,T2,1.0798855555843717e-11,4.598537983499073e-12,1.5238782656776573,1.3535461093449337e-11,6.825910184733381e-12,1.4320820442431081,8.629319670313656e-12,3.482661335589645e-12,1.4249556487818067,0.8477336321450463,0.6761737254687804,0.6688241334710617,0.5432754107119319,0.8196494188002357,0.7077624660474052,-0.8134536153978724,-0.7099202519857667
S003,T0,3.5870201336113185e-11,1.4048892497480645e-11,1.7700401125621834,3.6564063371020665e-11,1.3083024277390308e-11,1.681832555838892,3.044811445517155e-11,1.2501724461550851e-11,1.7104074169073267,0.7198933676019373,0.888188908281202,0.5705418601610122,0.7981324391639735,0.8623675388866933,0.9011892404510246,,
S003,T1,3.546561355471808e-11,1.3970271796913288e-11,1.7262708292541635,3.7020687150663686e-11,1.2864043670043356e-11,1.6668781293822512,3.1005351006882746e-11,1.1998703992064679e-11,1.6670008813509924,0.790195822447158,0.9252333394829583,0.7581313461841521,0.8526184483053209,0.9035916480163511,0.9124701536397591,-0.7327470420135016,-0.7552508101770338
S003,T2,3.712449389667156e-11,1.3410994154735204e-11,1.7583170256386533,3.747592671071704e-11,1.2374387080420473e-11,1.7751565367214694,2.9998922763111007e-11,1.2139083922714374e-11,1.7461880349772385,0.802511520123616,0.933693358187584,0.6581101874061903,0.853215871949108,0.7965697894298018,0.9139402148786852,-0.7327470420135016,-0.7552508101770338
S004,T0,5.00298607128609e-12,2.720044423070117e-12,1.5382156341604187,4.789021609948697e-12,2.7845408115973095e-12,1.5520532286531479,4.196280247689162e-12,2.3862200485556905e-12,1.5386621914822187,0.8981038327660795,0.7978144548745131,0.686450844233417,0.6037732138422706,0.813365592741061,0.7716871025860189,,
S004,T1,4.36779278437186e-12,2.4195705757885466e-12,1.6534177065506348,4.1035753757787e-12,2.4979022535911095e-12,1.625780418014365,3.3388422390851164e-12,2.1575531923036475e-12,1.5708927554339664,0.8525564049747474,0.811961047905938,0.6197568710252258,0.5838840361348975,0.8173513076504821,0.7594280783084211,-0.7248204189161639,-0.750154161333456
S004,T2,4.01467974936267e-12,2.299184125898493e-12,1.7139424468712474,4.073957973890612e-12,2.6739040607819875e-12,1.7190105391589896,3.8613059899825346e-12,2.521112514309952e-12,1.6475735223961174,0.9378114580711496,0.8145154335095723,0.8492382135935148,0.6478492376669698,0.9167880264037691,0.7701320767555934,-0.7248204189161639,-0.750154161333456
S005,T0,6.419808744662239e-12,2.3582521395391274e-12,1.4380378647070753,7.494562656175954e-12,2.2572008831009754e-12,1.3302518231190572,5.3221711894714864e-12,2.1934176033304165e-12,1.5346464358605993,0.7242764150470009,0.7206706283914303,0.5792083102602443,0.4637992118412483,0.7516246711133397,0.6071534594842528,,
