Sujeto,Condicion,Canal,Potencia_Mu,Potencia_Beta
S001,real,C3,2.27934468421596e-06,7.375761030408342e-07
S001,real,C4,1.6431124251909187e-06,5.654207476808421e-07
S001,real,Cz,2.1739505851527112e-06,7.467779403159743e-07
S001,imaginacion,C3,2.3065114788046345e-06,6.709102160409251e-07
S001,imaginacion,C4,1.415501615001998e-06,4.882692284793914e-07
S001,imaginacion,Cz,1.9182831165649105e-06,6.559457780999463e-07
S002,real,C3,9.309049792098486e-07,4.5494949538427926e-07
S002,real,C4,5.94699396664834e-07,2.2564152734777135e-07
S002,real,Cz,9.183960474239151e-07,5.105942811156831e-07
S002,imaginacion,C3,8.412976843886022e-07,2.5445718663601123e-07
S002,imaginacion,C4,5.061966205695597e-07,2.077411725127457e-07
S002,imaginacion,Cz,8.741102158627659e-07,4.962598431463575e-07
S003,real,C3,2.0707876877745198e-06,5.899574514860183e-07
S003,real,C4,1.8892953512422197e-06,5.734953894565276e-07
S003,real,Cz,2.1287528834610978e-06,5.572001941472335e-07
S003,imaginacion,C3,2.064238236921038e-06,8.918191135278237e-07
S003,imaginacion,C4,1.8835670306364242e-06,7.76132482124895e-07
S003,imaginacion,Cz,2.1685683432158375e-06,8.254854564089301e-07
S004,real,C3,2.3178186106796743e-07,1.3593992415939027e-07
S004,real,C4,1.7222041745543645e-07,9.681509701524702e-08
S004,real,Cz,2.212841443751103e-07,1.4020208238640897e-07
S004,imaginacion,C3,2.735613895330255e-07,1.5808376638823927e-07
S004,imaginacion,C4,2.2109803922388833e-07,1.398238762058731e-07
S004,imaginacion,Cz,2.6540801527973765e-07,1.6359350864575467e-07
S005,real,C3,4.4059088179461397e-07,1.512386643254541e-07
S005,real,C4,3.616367809656737e-07,1.3501749081711124e-07
S005,real,Cz,5.166318703594164e-07,1.421054036246191e-07
S005,imaginacion,C3,4.04866982135735e-07,1.3102503604292175e-07
S005,imaginacion,C4,3.05943464284798e-07,1.2001666214373696e-07
S005,imaginacion,Cz,4.6597161390164673e-07,1.3087247871230065e-07
S006,real,C3,3.083214616691505e-07,3.5095618065615357e-07
S006,real,C4,2.2824755214799604e-07,2.539077542557807e-07
S006,real,Cz,2.493417723514266e-07,2.3945062642800383e-07
S006,imaginacion,C3,2.842709246503528e-07,2.880115827669892e-07
S006,imaginacion,C4,2.332021012582155e-07,2.0880461159775678e-07
